Symbol,Last Known Close,Sentiment Score,Estimated Close,Stock Direction,Confidence
MMM,144.77,2.0,139.73442582447024,↓,0.03555109751974762
AOS,62.91,5.0,65.89309147355982,↑,0.032696302476077105
ABT,117.855,3.0,116.18656010611085,↓,0.056741750259813026
ABBV,156.55,12.0,154.75084131913718,↓,0.13964584075816114
ABMD,290.31,16.0,358.7544559781127,↑,0.00421002844865024
ACN,306.645,9.0,365.9039750297561,↑,0.008234370418795848
ATVI,77.27,-8.0,82.61552271755136,↑,0.009345377351068225
ADM,90.4296,7.0,92.44062771039353,↑,0.053025155245129685
ADBE,405.3,12.0,682.7262559729797,↑,0.003724771398715572
AAP,225.64,6.0,226.46739948371578,↑,0.20172581614836568
AMD,86.695,-3.0,92.80753145434403,↑,0.008494419660406006
AES,21.495,8.0,35.174760808440055,↑,0.0011656197357954063
AFL,61.155,11.0,83.91537866222825,↑,0.001143065081497212
A,118.755,14.0,221.91325429925996,↑,0.0022153367579173053
APD,236.83,14.0,249.2791693824961,↑,0.019054453710191457
AKAM,115.74,9.0,118.17280319582642,↑,0.04496201361986218
ALK,54.17,-4.0,55.366675673384634,↑,0.013151309588391108
ALB,189.92,8.0,203.96465283851649,↑,0.0068331093755992275
ARE,191.75,12.0,197.4169019805522,↑,0.018271212827105223
ALGN,363.9315,6.0,439.21033776703734,↑,0.012348762362187418
ALLE,115.14,10.0,121.68975146366529,↑,0.012803656940842862
LNT,61.89,9.0,62.745971569416724,↑,0.029410746107633168
ALL,130.125,6.0,161.1382275518381,↑,0.002993781141167259
GOOGL,2424.49,-7.0,2602.690390747739,↑,0.005339890215967272
GOOG,2432.975,-6.0,2512.120015179942,↑,0.007888897850097698
MO,55.185,6.0,54.991588718599814,↓,0.7861746018485242
AMZN,2826.3599,-7.0,3378.834630987374,↑,0.0026557875675135762
AMCR,11.65,11.0,11.622225781301154,↓,0.5398820585892844
AEE,95.17,14.0,94.96848657144983,↓,0.12943838085726797
AAL,18.985,3.0,18.753742520654896,↓,0.5279364053072421
AEP,99.779,6.0,99.23123695743561,↓,0.1429064486006747
AXP,180.7,13.0,179.56313211088582,↓,0.16513665005016642
AIG,58.22,1.0,90.56681313140143,↑,0.0010620223459979045
AMT,255.77,4.0,252.93286131870263,↓,0.2536978824387138
AWK,159.06,15.0,159.541644946421,↑,0.01822043943709587
AMP,265.99,10.0,400.44717857092746,↑,0.0015481276433365315
ABC,159.26,13.0,158.49306492096366,↓,0.2722741371031773
AME,126.59,7.0,128.8760201714706,↑,0.01873214446055545
AMGN,251.065,14.0,250.16123473780317,↓,0.3867916328116053
APH,69.39,10.0,89.62706131675623,↑,0.005705246285420201
ADI,154.6981,18.0,155.336486551716,↑,0.016757796059945682
ANSS,275.21,6.0,313.15087473117774,↑,0.014518566664527761
ANTM,506.555,9.0,503.05303221913346,↓,0.34446940297067247
AON,313.34,14.0,339.6462140181684,↑,0.01291900815876398
APA,38.82,7.0,44.28998875617981,↑,0.016045242858424923
AAPL,158.7975,1.0,160.2551601986188,↑,0.012464343392794498
AMAT,110.595,11.0,186.15408341827242,↑,0.00497656426142958
APTV,103.52,-6.0,109.55796121186359,↑,0.014027381473622697
ANET,116.41,14.0,181.7347728832392,↑,0.001721324978126793
AJG,175.54,15.0,177.1987037763247,↑,0.03814019559548985
AIZ,185.89,10.0,184.95014011445346,↓,0.40573343091322617
T,19.495,15.0,19.38113748605656,↓,0.5094603369857182
ATO,117.61,9.0,117.93211089354372,↑,0.10055864718399513
ADSK,188.3989,10.0,278.14712279176865,↑,0.006762582317615383
ADP,224.53,7.0,220.99921479370096,↓,0.1522096330616817
AZO,2217.9,13.0,2220.95410490036,↑,0.529777306222818
AVB,245.85,10.0,244.25351429612056,↓,0.06445763771034237
AVY,175.49,6.0,179.83197356455366,↑,0.0443496370088274
BKR,31.46,3.0,36.09831895570733,↑,0.0068641730534757875
BLL,81.695,8.0,115.98493772587972,↑,0.001410639880752853
BAC,36.78,14.0,66.38041000728373,↑,0.0024980578581630104
BBWI,53.295,9.0,53.06932511694322,↓,0.3509384671804264
BAX,71.16,11.0,109.67028028471441,↑,0.0019133288363534391
BDX,255.58,0.0,266.13409767820485,↑,0.005634223296718158
BBY,94.404,2.0,96.25700708080149,↑,0.12566682438919527
BIO,500.155,15.0,1241.0223373669264,↑,0.0017678012791704553
BIIB,208.28,-6.0,206.2867837384215,↓,0.08151318773538048
BLK,651.6413,-3.0,662.7533698259549,↑,0.008583611063749826
BK,43.76,3.0,43.41574678314589,↓,0.024164918902274107
BA,167.85,1.0,160.0048024195455,↓,0.014713462242491164
BKNG,2183.06,11.0,2155.620937928339,↓,0.2517486293880574
BWA,36.25,10.0,41.687072627202724,↑,0.012929404950527136
BXP,124.7,5.0,123.79097927095609,↓,0.49983233130861043
BSX,42.93,10.0,44.470011885083295,↑,0.004966166708891625
BMY,75.8801,1.0,74.46973640526448,↓,0.20148597923234107
AVGO,569.44,15.0,580.2387317037101,↑,0.01564493451683119
BR,148.6,8.0,148.755611424358,↑,0.04130254595413754
BRO,66.54,19.0,74.8757468297299,↑,0.0018876422200125307
CHRW,101.845,13.0,101.33188376420094,↓,0.3195877428246014
CDNS,153.7,9.0,152.81924207467,↓,0.397704975533351
CZR,65.54,11.0,105.79550896746139,↑,0.003975423812526059
CPB,46.57,7.0,46.51242817246202,↓,0.7887882343998508
COF,133.42,8.0,132.392476069469,↓,0.11753104750605914
CAH,61.05,10.0,60.877679268729935,↓,0.2209054077071157
KMX,89.53,-4.0,98.11935242084974,↑,0.008659302538024742
CCL,17.5963,3.0,17.259963371981712,↓,0.019850641223423577
CARR,40.43,6.0,44.95924832054368,↑,0.009538439817055988
CTLT,88.0788,6.0,107.91365857270966,↑,0.004673450103658439
CAT,211.3193,9.0,224.46293354034424,↑,0.010136804754854773
CBOE,113.58,14.0,142.09624195738684,↑,0.0032971481398891274
CBRE,83.4299,11.0,119.6729589558056,↑,0.004863122415865062
CDW,165.11,13.0,253.80952704341462,↑,0.002512308673040264
CE,140.49,12.0,147.9776290860973,↑,0.0193666333402201
CNC,83.15,14.0,84.90698198447444,↑,0.012642073045991787
CNP,31.43,11.0,31.645813160101852,↑,0.1038940613540787
CERN,93.62,10.0,93.6161985701765,↓,0.8641223217264428
CF,95.1,10.0,106.54441871902418,↑,0.020025352572976194
CRL,234.86,10.0,576.9027688766378,↑,0.0014713298139710151
SCHW,69.2939,8.0,103.53047593671226,↑,0.002429439437112946
