country,Name,Symbol,Sentiments,marketcap,"Stock Price (6wk ago),","Stock Price (5wk ago),","Stock Price (4wk ago),","Stock Price (3wk ago),","Stock Price (2wk ago),","Stock Price (1wk ago),","Stock Price (0wk ago),"
United States,Tesla,TSLA,"['Tesla is ‘one of the market’s best secular growth stories’: Analyst', ""CFRA Analyst Garrett Nelson joins Yahoo Finance to discuss Tesla's growth as it opens new gigafactories overseas, the EV manufacturer's production goals, and Tesla's position in the competitive EV space."", 'LG plans to build battery factory in Arizona to supply Tesla, others: sources', 'South Korea\'s LG Energy Solution plans to build a battery factory in Arizona to supply to Tesla and other customers, two persons familiar with the matter told Reuters.  The U.S. factory is expected to produce cylindrical battery cells of different sizes, for customers, including EV makers Lucid and Proterra and Philip Morris, maker of IQOS heated-tobacco sticks, one of the persons said.  Tesla CEO Elon Musk said on Tuesday that battery production would be ""the limiting factor"" for vehicle production in two to three years, as the world\'s largest electric vehicle maker aims to boost sales.', 'Tesla Price Update: Amazon Correlation Supports Collapse into Mid-April', 'The correlation between Amazon in the year 2000 and Tesla today is remarkable. If Tesla prices peak in late-March, I see the potential for a 40%+ decline by Mid-April. See charts below.', 'Toyota (TM), ChargePoint Team Up for Multi-Pronged EV Charging', ""Toyota (TM) ties up with ChargePoint to work on home and public charging for Toyota's all-new 2023 bZ4X battery-electric SUV."", 'Is it a Wise Move to Still Buy Tesla, Inc. (TSLA) Shares?', 'Ariel Investments, an investment management firm, published its “Ariel Fund & Ariel Appreciation Fund” fourth quarter 2021 investor letter – a copy of which can be downloaded here. For the three months ending December 31, 2021, Ariel Fund and Ariel Appreciation Fund lagged their primary value benchmarks. This was largely due to some weakness among our […]', 'The Zacks Analyst Blog Highlights Ford, General Motors, Honda and Tesla', 'Ford, General Motors, Honda and Tesla have been included in this Analyst Blog.', 'Smartphone Giant Xiaomi Jumps After Joining China Buyback Wave', '(Bloomberg) -- Xiaomi Corp. jumped as much as 6.3% after posting better-than-expected results and declaring it will begin buying as much as HK$10 billion ($1.3 billion) of its own shares.Most Read from BloombergChina Plane Crash Update: Voice Recorder Sent for AnalysisWhere Mornings Would Get Darker Under Permanent Daylight Savings TimeChina Jet’s Nosedive From 29,000 Feet Baffles Crash SpecialistsPutin Adviser Chubais Quits Over Ukraine War, Leaves RussiaChina Jet’s Dive Took It Near Speed of S', 'Why Are Tesla, Volkswagen And Nio Scrambling For Graphite?', 'The electric vehicle boom is well underway, and one crucial material could surge by as much as 4000% as demand continues to climb']",911205269504,922.0,922.4299926757812,821.530029296875,864.3699951171875,824.4000244140625,801.8900146484375,993.97998046875
Japan,Toyota,TM,"['Toyota Pauses Production. Covid-19, Not Chips, Is the Latest Issue.', 'The car maker said it was taking some downtime due to parts shortages caused by new restrictions meant to fight the pandemic in Asia.', 'UPDATE 2-Toyota plans 17% cut in global production in April', 'Toyota Motor Corp is cutting its global production target in April to 750,000 vehicles, down 150,000 from an earlier plan, the automaker said on Thursday, as a semiconductor shortage and the COVID-19 pandemic bite into its plans.  The news comes about a week after Toyota said it would scale back domestic production by up to 20% during the months of April, May and June to ease the strain on suppliers battling shortages of chips and other parts.  Average monthly global production for the period from April to June would be about 800,000, Toyota added.', ""Toyota Tsusho Corporation -- Moody's affirms Toyota Tsusho's A3 ratings; outlook remains stable"", ""Rating Action: Moody's affirms Toyota Tsusho's A3 ratings; outlook remains stableGlobal Credit Research - 17 Mar 2022Tokyo, March 17, 2022 -- Moody's Japan K.K. has affirmed Toyota Tsusho Corporation's A3 issuer and senior unsecured ratings.  The outlook also incorporates the agency's expectation that the company will increase its investments while maintaining a sufficient cushion in its credit metrics.Moody's would consider a rating upgrade if Toyota Tsusho successfully diversifies its portfolio, reducing its reliance on the automotive sector without increasing its business risks; significantly reduces debt with its free cash flow; maintains its FFO/debt at above 18%; and reduces its debt/capitalization below 50% on a sustained basis.Downward rating pressure would emerge if Toyota Tsusho's returns and capital structure deteriorate significantly because of weakening market conditions, especially related to Toyota Motor's sales; its investments in new businesses lead to increased earnings volatility; its FFO/debt drops below 10%; or its debt/capitalization remains above 65% on a sustained basis.The principal methodology used in these ratings was Trading Companies (Japanese) published in July 2016 and available at https://www.moodys.com/researchdocumentcontentpage.aspx?docid=PBC_191144."", 'Toyota plans 17% cut in global production in April', 'TOKYO (Reuters) -Toyota Motor Corp is cutting its global production target in April to 750,000 vehicles, down 150,000 from an earlier plan, the automaker said on Thursday, as a semiconductor shortage and the COVID-19 pandemic bite into its plans.  The news comes about a week after Toyota said it would scale back domestic production by up to 20% during the months of April, May and June to ease the strain on suppliers battling shortages of chips and other parts.  Average monthly global production for the period from April to June would be about 800,000, Toyota added.', ""$27 Million Investment to Expand Toyota's Long Beach Manufacturing Capabilities"", ""For 50 years, TABC has led the way for Toyota's manufacturing operations in North America. Today, Toyota Motor North America (TMNA) announced a $27 million investment in the operation to support an increase in its production capabilities."", 'Yahoo Finance Presents: U.S. Secretary of Transportation Pete Buttigieg', 'Yahoo Finance’s Editor-at-Large Brian Sozzi talks with U.S. Secretary of Transportation Pete Buttigieg about the new Freight Logistics Optimization Works (FLOW) initiative aimed at data sharing as well as the topics of supply chain issues and inflation.', 'Toyota (TM) Halts Operations in China Amid New COVID Lockdown', 'Toyota (TM) orders suspension of operations in China until further notice in response to government-imposed lockdown and restrictions.', 'China Closes Two Manufacturing Hubs as Covid-19 Cases Jump', 'China closed manufacturing hubs Shenzen and Changchun as Covid-19 cases jump, halting local output from companies including Toyota and Foxconn', 'With Toyota as partner, Mazda hopes to jump-start U.S. market', ""A decade after Mazda Motor's cars disappeared from Ford Motor's factory floors in Michigan, the Japanese automaker is once again building in the United States - this time with compatriot Toyota Motor.  When the first Mazda CX-50 crossovers rolled off the assembly line at the joint Alabama plant in January, they were packed with efficiencies hammered out by the two automakers, both known for their cost-cutting smarts and manufacturing prowess.  For Mazda, restarting local production with help from Toyota's deep local knowledge and reputation for reliability is the game-changer it hopes will jump-start sales in the world's second-biggest market.""]",274258280448,200.32000732421875,189.39999389648438,185.63999938964844,181.7100067138672,156.33999633789062,165.92999267578125,172.82000732421875
Germany,Volkswagen,VOW3.DE,"['U.S. companies pull back from business dealings in Russia', ""Yahoo Finance's Julie Hyman and Brian Sozzi discuss the list of American companies that are reducing their exposure to Russia amid the invasion of Ukraine."", 'Burnt-Out Ship Carrying Porsches and Lamborghinis Sinks in Rough Seas', '(Bloomberg) -- The cargo ship that caught fire in the Atlantic while transporting roughly 4,000 Volkswagen AG vehicles to the U.S. has sunk despite efforts to tow it to safety.Most Read from BloombergTeen Who Tracked Elon Musk’s Jet Is Now Chasing Russian TycoonsRussia Steps Up Aerial Campaign Against Cities: Ukraine UpdateChina Spy Think Tank Advising Xi Predicts Russia Sanctions Will BackfireMicrosoft Says Son of CEO Satya Nadella Has Died at 26Belarus Preparing to Send Soldiers, Report Says:', 'Carmakers hit the brakes on Russia as sanctions bite', 'Global auto and truck makers have joined a growing list of companies looking to exit Russia as international sanctions aimed at crippling Moscow’s economy start to bite.', 'Volkswagen warns of production cuts as Ukraine crisis hits suppliers', ""Europe's largest carmaker Volkswagen on Tuesday warned of production cuts at some of its plants including the one in Wolfsburg as Ukraine-based suppliers have been facing difficulties delivering after Russia's invasion.  The company said it would likely be unable to produce at its Wolfsburg plant in the week of March 14 as a result, adding the factory would already produce less from the week of March 6.  The group also said it had temporarily halted production of Volkswagen brand electric vehicles at its Zwickau and Dresden plants this week and could not rule out further production adjustments."", ""Volkswagen's Skoda limits some output due to Ukraine, production in Russia still running"", 'Czech carmaker Skoda Auto, part of Volkswagen, will limit some production at its domestic plants due to supply shortages after Russia\'s invasion of Ukraine, while it said its Russian operations were still running.  ""Due to the current situation in Ukraine, Skoda Auto is facing critical supply shortages of parts from several local suppliers that have effect on some of our models,"" it said.  Skoda said its supply chain consisted of a number of suppliers in western Ukraine.', '4 Supercharged Electric Vehicle Stocks to Buy in 2022 and Beyond', 'Electrification of transport is an unstoppable trend.  President Joe Biden wants to make 50% of all vehicle sales to be electric by 2030.  Top automakers have also announced intentions to increase their electric vehicle (EV) sales in sync with this target.', 'VW Keeps Porsche IPO on Table Amid Market Volatility', '(Bloomberg) -- Volkswagen AG said it will continue to explore an initial public offering of the German manufacturer’s Porsche sportscar brand as markets are roiled by Russia’s invasion of Ukraine.Most Read from BloombergTaiwan to Join in U.S.-Led Sanctions on Russia: Ukraine UpdateRussia Invasion of Ukraine Ignites European Security CrisisRussia Hits Airfields; Kyiv Imposes Martial Law: Ukraine UpdateKyiv Accuses Russia of Targeting Civilians: Ukraine UpdateStocks Rise as Oil Pares Gain After Bi', 'UK car production plummets to 13-year low in January', 'Car production sank to its lowest January in a decade as the semiconductor shortage continued to cause disruption.', 'Porsche could IPO in fourth quarter, Volkswagen CFO says', 'FRANKFURT (Reuters) -Porsche\'s potential initial public offering (IPO) could happen as soon as the fourth quarter of 2022, the finance chief of the luxury carmaker\'s owner Volkswagen said on Friday, providing further details of what could become a record listing.  Volkswagen\'s rationale for the IPO partly rests on hopes that it will remove some of the carmaker\'s conglomerate discount and raise its shares, which have underperformed the European sector over the past 12 months.  ""There is no guarantee the market value of (Porsche) will translate into the VW share price unless VW addresses more structural issues of brand/product complexity,"" analysts at Jefferies wrote.', 'Volkswagen, top shareholder strike framework deal for Porsche IPO', ""FRANKFURT (Reuters) -Volkswagen and its top shareholder Porsche SE on Thursday fleshed out details of a possible listing of luxury carmaker Porsche, edging closer to what could become one of the world's largest stock market debuts.  In case of an initial public offering, the share capital of Porsche AG would be equally split into preferred and ordinary shares and up to a quarter of the preferred stock would be placed on the market, Volkswagen said, confirming an earlier Reuters story.  This implies a potential placement and free float of up to 12.5% of Porsche AG's total share capital, or more than 10 billion euros ($11.2 billion) when using a valuation of around 90 billion.""]",124395549741,176.4600067138672,188.1999969482422,188.6999969482422,164.47999572753906,135.83999633789062,151.0,155.0
China,BYD,002594.SZ,No data!,107779133682,236.97000122070312,238.30999755859375,237.4499969482422,251.77999877929688,216.19000244140625,212.8000030517578,244.8000030517578
Germany,Daimler,DAI.DE,No data!,85824249620,67.55999755859375,75.37999725341797,73.22000122070312,66.44000244140625,57.0,62.13999938964844,64.16000366210938
United States,General Motors,GM,"['The Zacks Analyst Blog Highlights Ford, General Motors, Honda and Tesla', 'Ford, General Motors, Honda and Tesla have been included in this Analyst Blog.', 'Why Are Tesla, Volkswagen And Nio Scrambling For Graphite?', 'The electric vehicle boom is well underway, and one crucial material could surge by as much as 4000% as demand continues to climb', 'Maserati exec: ‘We’ve made dual investments’ in electric and gas-powered vehicles', 'Maserati Americas Head Bill Peffer joins Yahoo Finance Live to discuss the latest Maserati Grecale mid-size SUV, EV product development, and supply chain forecasts.', 'General Motors Names Henniges Automotive a 2021 Supplier of the Year', 'General Motors recognized Henniges Automotive as a 2021 Supplier of the Year. GM celebrated honorees at its 30th annual Supplier of the Year awards ceremony in Phoenix, Arizona, last week.', 'Global lithium-ion battery capacity may rise five-fold by 2030 - Wood Mackenzie', '""Electric vehicle market accounts for almost 80% of lithium-ion battery demand and high oil prices are supporting more markets to roll out zero-emission transportation policies, causing demand for lithium-ion battery to skyrocket,"" Wood Mackenzie consultant Jiayue Zheng said in a report.  U.S. carmakers Ford Motor Co and General Motors Co recently announced their EV expansion plans, with Ford set to launch seven electric models in Europe by 2024 and deepen its partnership with Volkswagen to produce a second EV for the European market.  Battery makers are responding to this rising demand with massive expansion plans, Wood Mackenzie said.', 'Super luxury brands like Lamborghini and Bentley will be successful EVs: VW US chief', 'Here comes the age of electric for super luxury brands such as Bentley and Lamborghini.', ""Tesla's new Gigafactory is its biggest strategic endeavor in a decade: analyst"", ""Tesla's Berlin Gigafactory is ready for business."", 'Electric vehicles: Cadillac kicks of Lyriq production in Tennessee', ""Yahoo Finance's Pras Subramanian details productions on the Cadillac Lyriq EV beginning in the vehicle manufacturer's Tennessee plants, General Motors' summer delivery date, the production figures GM is expecting, and GM's stake in Cruise Automations."", 'The Funded: GM is consolidating its control of Cruise via its $2.1B to buyout of SoftBank', ""GM will own 80% of the self-driving technology developer after the purchase, reversing Cruise's prior strategy of diversifying its ownership."", 'Cadillac LYRIQ production kicks off in Spring Hill, Tenn.', 'It looks like Cadillac’s EV transformation is nearly here, as it confirmed it will begin production of its LYRIQ EV SUV next week on March 21, at its newly reconfigured plant in Spring Hill, Tennessee.']",73682640896,49.459999084472656,49.66999816894531,46.77000045776367,44.52000045776367,40.20000076293945,42.130001068115234,44.560001373291016
United States,Ford,F,"['UPDATE 3-VW plans to open Spanish battery plant near Valencia in 2026', 'Volkswagen has picked a site near Valencia for a planned battery cell plant in Spain, which could include U.S. carmaker Ford as a customer or partner, but the project depends on receiving government funds, it said on Wednesday.  The German carmaker aims to begin series production at the 40 gigawatt-hour (GWh) plant by 2026, meaning construction would need to start this year.', 'The Zacks Analyst Blog Highlights Ford, General Motors, Honda and Tesla', 'Ford, General Motors, Honda and Tesla have been included in this Analyst Blog.', 'Why Are Tesla, Volkswagen And Nio Scrambling For Graphite?', 'The electric vehicle boom is well underway, and one crucial material could surge by as much as 4000% as demand continues to climb', 'Maserati exec: ‘We’ve made dual investments’ in electric and gas-powered vehicles', 'Maserati Americas Head Bill Peffer joins Yahoo Finance Live to discuss the latest Maserati Grecale mid-size SUV, EV product development, and supply chain forecasts.', ""EV Roundup: Ford (F) and Honda's (HMC) Electrification Strides Make News"", 'While Ford (F) promises seven new EVs lined up for Europe by 2024, Honda (HMC) is set to refurbish its plants in Alliston to manufacture hybrid electric cars.', 'Global lithium-ion battery capacity may rise five-fold by 2030 - Wood Mackenzie', '""Electric vehicle market accounts for almost 80% of lithium-ion battery demand and high oil prices are supporting more markets to roll out zero-emission transportation policies, causing demand for lithium-ion battery to skyrocket,"" Wood Mackenzie consultant Jiayue Zheng said in a report.  U.S. carmakers Ford Motor Co and General Motors Co recently announced their EV expansion plans, with Ford set to launch seven electric models in Europe by 2024 and deepen its partnership with Volkswagen to produce a second EV for the European market.  Battery makers are responding to this rising demand with massive expansion plans, Wood Mackenzie said.', ""Ford's (F) Europe Production Hit by Chip Woes, Ukraine Conflict"", 'Ford (F) suspends production in Europe due to the long-drawn semiconductor crisis aggravated by the Russia-Ukraine war. In a separate development, F increases the range of the F-150 Lightning e-truck.', 'Super luxury brands like Lamborghini and Bentley will be successful EVs: VW US chief', 'Here comes the age of electric for super luxury brands such as Bentley and Lamborghini.', ""Tesla's new Gigafactory is its biggest strategic endeavor in a decade: analyst"", ""Tesla's Berlin Gigafactory is ready for business."", 'Cold War 2.0? The Global Economic Impact of Sanctions Against Russia', 'The consequences of harsh economic sanctions against Russia are already being felt across the globe. WSJ’s Greg Ip joins other experts to explain the significance of what has happened so far and how the conflict might transform the global economy. Photo Illustration: Alexander Hotz']",71636033536,17.719999313354492,18.079999923706055,17.290000915527344,16.700000762939453,16.030000686645508,16.059999465942383,17.09000015258789
Germany,BMW,BMW.DE,No data!,66793934199,89.91000366210938,94.93000030517578,90.93000030517578,82.48999786376953,71.05000305175781,75.31999969482422,79.05999755859375
Netherlands,Stellantis,STLA,"[""Maserati's first electric SUV is here"", ""Luxury Italian automaker Maserati finally offered up a taste, a primi piatti if you will, of its coming electric future. Coming in 2023 will be the all-electric Grecale Folgore, Maserati's first all-electric car."", 'Stellantis and LG Energy Solution to Invest Over $5 Billion CAD in Joint Venture for First Large-scale Lithium-ion Battery Production Plant in Canada', 'Joint venture company to become first large-scale, domestic, electric-vehicle battery manufacturing facility in Canada', 'Jeep® Brand Acknowledges the Sunset Chasers, Adrenaline Junkies, Nature Lovers, Athletes and More in New Marketing Campaign for Grand Cherokee', '""Made for What You\'re Made Of"" marketing campaign launches across television and Jeep® brand social media channels', 'Stellantis Fires Up EV Rivalry With Tesla', ""Stellantis NV (NYSE: STLA), Mercedes-Benz Group AG (OTC: DMLRY), and TotalEnergies SE (NYSE: TTE) joint venture Automotive Cells Company looked to build an EV battery plant in Italy. The plant would involve an investment of over €7 billion, Reuters reports The partners aimed to increase its industrial capacity to at least 120-gigawatt hours (GWh) by 2030. ACC looked to produce batteries for over 2.5 million vehicles per year by 2030. Tesla Inc's (NASDAQ: TSLA) Berlin plant aimed for an eventual"", 'UPDATE 3-LG Energy Solution to set up EV battery JV with Stellantis in Canada', 'South Korean battery giant LG Energy Solution Ltd (LGES) said on Wednesday it plans to invest $1.5 billion to set up a joint venture with Stellantis NV in Canada.  LGES owns 51% of the joint venture, tentatively named ""LGES-STLA JV"" and Stellantis owns 49%, LGES said in a regulatory filing.', 'LG Energy Solution to set up EV battery JV with Stellantis in Canada', 'SEOUL (Reuters) -South Korean battery giant LG Energy Solution Ltd (LGES) said on Wednesday it plans to invest $1.5 billion to set up a joint venture with Stellantis NV in Canada.  LGES owns 51% of the joint venture, tentatively named ""LGES-STLA JV"" and Stellantis owns 49%, LGES said in a regulatory filing.', 'CORRECTED-UPDATE 2-Stellantis, Mercedes battery cell JV to build plant in Italy', 'Automotive Cells Company (ACC), a joint venture between Stellantis, Mercedes-Benz and TotalEnergies, plans to build a battery plant in Italy, the latest move to boost capacity to meet demand for electric vehicles.  ACC will convert an existing Stellantis plant in Termoli, in southern Italy, into a battery facility as agreed in a March 21 memorandum of understanding with Italian authorities.  It has not provided details on the investment, but said on March 11 the goal was to produce batteries for more than 2.5 million vehicles per year by 2030.', ""Stellantis' battery plans take shape in Italy, Canada"", ""MILAN/OTTAWA (Reuters) -Stellantis took significant steps in its battery production plans in Europe and North America on Wednesday as carmakers race to meet rising demand for electric vehicles.  The company said its Automotive Cells Company (ACC) joint venture with Mercedes-Benz and TotalEnergies would build a battery plant in Italy and boost its capacity in Europe.  Separately, South Korea's LG Energy Solution (LGES) said it would invest $1.48 billion to set up a joint venture with Stellantis to produce batteries in Canada."", 'Stellantis Affirms Commitment to Italy with Automotive Cells Company’s (ACC) Planned Battery Plant Investment', 'Stellantis Affirms Commitment to Italy with Automotive Cells Company’s (ACC) Planned Battery Plant Investment ACC intends to build a third production site at the Stellantis facility in Termoli, ItalyPartners to accelerate ACC development with an objective of at least 120 gigawatt hours of cell capacity by 2030 AMSTERDAM, March 23, 2022 – Together with its partners, Stellantis supports Automotive Cells Company’s (ACC) growth plans as it intends to transform Stellantis’ existing Termoli plant in I', 'Maserati exec: ‘We’ve made dual investments’ in electric and gas-powered vehicles', 'Maserati Americas Head Bill Peffer joins Yahoo Finance Live to discuss the latest Maserati Grecale mid-size SUV, EV product development, and supply chain forecasts.']",58517344256,18.860000610351562,19.389999389648438,18.40999984741211,16.81999969482422,14.319999694824219,15.489999771118164,16.3799991607666
Japan,Honda,HMC,"['The Zacks Analyst Blog Highlights Ford, General Motors, Honda and Tesla', 'Ford, General Motors, Honda and Tesla have been included in this Analyst Blog.', ""EV Roundup: Ford (F) and Honda's (HMC) Electrification Strides Make News"", 'While Ford (F) promises seven new EVs lined up for Europe by 2024, Honda (HMC) is set to refurbish its plants in Alliston to manufacture hybrid electric cars.', ""Photos: Inside Honda's new $124 million Central Ohio wind tunnel"", 'Honda engineer Mike Unger sounds like a kid at play when he talks about the automaker’s new $124 million wind tunnel.', ""Volkswagen exec on the electric VW bus: 'I’ve never seen this much demand for a vehicle'"", ""Volkswagen Group of America President and CEO Scott Keogh joins Yahoo Finance Live to discuss the automaker's investment in North American manufacturing, the chip shortage, the electric VW bus, and what's driving the transition to electric vehicles."", ""Toyota's (TM) North American Arm to Invest $27M in California"", ""Toyota's (TM) North American division announces $27M investment in California's TABC to expand production capabilities."", 'Fed Trying to Play Catch-Up (Capital Market Research) (Weekly Market Outlook)', '', ""Honda's (HMC) to Invest $1.38B in CR-V Hybrid Model in Canada"", 'Honda (HMC) will invest $1.38 billion in its Canada plants to manufacture the next generation 2023 CR-V Hybrid model to make a mark in the EV domain.', 'Honda to spend over $1 billion to upgrade Ontario factories', ""The investment would make the facility the biggest plant in the region for the 2023 CR-V Hybrid crossover and includes equal grants of C$131.6 million from the governments of Canada and Ontario, Honda of Canada Mfg said on Wednesday.  Honda's announcement comes at a time when automakers globally have sharpened their focus on producing environmentally friendly vehicles in response to rising demand.  Prime Minister Justin Trudeau's government sees the auto sector as a key part of its efforts to lower national carbon footprint."", 'China’s Covid-19 Lockdown Is the Wrong Risk at the Wrong Time', 'The lockdown of Shenzhen, China’s tech hub, has wider global implications that are already coming into play.', ""These were Central Ohio's best-selling vehicles in 2021"", 'While pickup trucks rule sales nationally, that American vehicle of choice does not have the same hold on the Columbus market.']",51654283264,29.600000381469727,31.719999313354492,31.18000030517578,29.81999969482422,26.389999389648438,27.15999984741211,28.510000228881836
