,Symbol,Last Known Close,Sentiment Score,Estimated Close,Stock Direction,Confidence,True Close,True Stock Direction,True Stock Direction (For Analysis)
0,MMM,144.77,2.0,139.73442582447024,↓,0.03555109751974762,145.25999450683594,↑,1
1,AOS,62.91,5.0,65.89309147355982,↑,0.032696302476077105,63.060001373291016,↑,1
2,ABT,117.855,3.0,116.18656010611085,↓,0.05674175025981304,118.01000213623047,↑,1
3,ABBV,156.55,12.0,154.75084131913718,↓,0.13964584075816114,158.2449951171875,↑,1
4,ABMD,290.31,16.0,358.75445597811273,↑,0.0042100284486502396,280.80999755859375,↓,0
5,ACN,306.645,9.0,365.9039750297561,↑,0.008234370418795848,305.5400085449219,↓,0
6,ATVI,77.27,-8.0,82.61552271755136,↑,0.009345377351068223,76.58999633789062,↓,0
7,ADM,90.4296,7.0,92.44062771039353,↑,0.053025155245129685,94.62000274658203,↑,1
8,ADBE,405.3,12.0,682.7262559729797,↑,0.003724771398715572,401.989990234375,↓,0
9,AAP,225.64,6.0,226.46739948371575,↑,0.20172581614836568,225.36000061035156,↓,0
10,AMD,86.695,-3.0,92.80753145434404,↑,0.008494419660406006,85.99810028076172,↓,0
11,AES,21.495,8.0,35.17476080844005,↑,0.0011656197357954065,21.354999542236328,↓,0
12,AFL,61.155,11.0,83.91537866222825,↑,0.001143065081497212,61.18000030517578,↑,1
13,A,118.755,14.0,221.91325429926,↑,0.002215336757917305,119.37000274658203,↑,1
14,APD,236.83,14.0,249.27916938249612,↑,0.019054453710191457,240.61000061035156,↑,1
15,AKAM,115.74,9.0,118.17280319582642,↑,0.044962013619862184,114.33999633789062,↓,0
16,ALK,54.17,-4.0,55.36667567338464,↑,0.013151309588391108,54.42499923706055,↑,1
17,ALB,189.92,8.0,203.96465283851646,↑,0.006833109375599228,194.77000427246094,↑,1
18,ARE,191.75,12.0,197.41690198055218,↑,0.018271212827105227,189.05050659179688,↓,0
19,ALGN,363.9315,6.0,439.2103377670373,↑,0.012348762362187418,365.6000061035156,↑,1
20,ALLE,115.14,10.0,121.68975146366527,↑,0.012803656940842862,116.20999908447266,↑,1
21,LNT,61.89,9.0,62.745971569416724,↑,0.029410746107633168,61.400001525878906,↓,0
22,ALL,130.125,6.0,161.1382275518381,↑,0.002993781141167259,129.0800018310547,↓,0
23,GOOGL,2424.49,-7.0,2602.690390747739,↑,0.005339890215967272,2297.669921875,↓,0
24,GOOG,2432.975,-6.0,2512.120015179942,↑,0.007888897850097698,2317.4287109375,↓,0
25,MO,55.185,6.0,54.991588718599814,↓,0.7861746018485242,55.41999816894531,↑,1
